Date,Open,High,Low,Close,Adj Close,Volume
21-09-2020,11503.79981,11535.25,11218.5,11250.54981,11250.54981,602900
22-09-2020,11301.75,11302.2002,11084.65039,11153.65039,11153.65039,672200
23-09-2020,11258.75,11259.54981,11024.40039,11131.84961,11131.84961,714900
24-09-2020,11011,11015.29981,10790.2002,10805.54981,10805.54981,706100
25-09-2020,10910.40039,11072.59961,10854.84961,11050.25,11050.25,559600
28-09-2020,11140.84961,11239.34961,11099.84961,11227.54981,11227.54981,472800
29-09-2020,11288.59961,11305.40039,11181,11222.40039,11222.40039,498300
30-09-2020,11244.4502,11295.40039,11184.54981,11247.54981,11247.54981,499300
01-10-2020,11364.4502,11428.59961,11347.04981,11416.9502,11416.9502,447700
05-10-2020,11487.79981,11578.04981,11452.29981,11503.34961,11503.34961,530600
06-10-2020,11603.4502,11680.29981,11564.29981,11662.40039,11662.40039,561400
07-10-2020,11679.25,11763.04981,11629.34961,11738.84961,11738.84961,513400
08-10-2020,11835.40039,11905.7002,11791.15039,11834.59961,11834.59961,608800
09-10-2020,11852.04981,11938.59961,11805.2002,11914.2002,11914.2002,611100
12-10-2020,11973.54981,12022.04981,11867.2002,11930.9502,11930.9502,522600
13-10-2020,11934.65039,11988.2002,11888.90039,11934.5,11934.5,458300
14-10-2020,11917.40039,11997.2002,11822.15039,11971.04981,11971.04981,569200
15-10-2020,12023.4502,12025.4502,11661.29981,11680.34961,11680.34961,608900
16-10-2020,11727.40039,11789.75,11667.84961,11762.4502,11762.4502,555800
19-10-2020,11879.2002,11898.25,11820.40039,11873.04981,11873.04981,541400
20-10-2020,11861,11949.25,11837.25,11896.79981,11896.79981,453600
21-10-2020,11958.54981,12018.65039,11775.75,11937.65039,11937.65039,623700
22-10-2020,11890,11939.54981,11823.4502,11896.4502,11896.4502,544900
23-10-2020,11957.90039,11974.54981,11908.75,11930.34961,11930.34961,502300
26-10-2020,11937.40039,11942.84961,11711.7002,11767.75,11767.75,519800
27-10-2020,11807.09961,11899.04981,11723,11889.40039,11889.40039,616300
28-10-2020,11922.59961,11929.40039,11684.84961,11729.59961,11729.59961,704000
29-10-2020,11633.29981,11744.15039,11606.4502,11670.79981,11670.79981,555000
30-10-2020,11678.4502,11748.9502,11535.4502,11642.40039,11642.40039,553700
02-11-2020,11697.34961,11725.65039,11557.40039,11669.15039,11669.15039,568400
03-11-2020,11734.4502,11836.2002,11723.29981,11813.5,11813.5,674300
04-11-2020,11783.34961,11929.65039,11756.40039,11908.5,11908.5,667300
05-11-2020,12062.40039,12131.09961,12027.59961,12120.29981,12120.29981,632500
06-11-2020,12156.65039,12280.40039,12131.84961,12263.54981,12263.54981,576800
