Date,Open,High,Low,Close,Adj Close,Volume
18-02-2021,3065,3097.899902,3031,3057.350098,2900.320801,4189909
19-02-2021,3058,3087.149902,3016.149902,3071.850098,2914.075684,3725028
22-02-2021,3096,3096,2943.149902,2958.449951,2806.5,5366696
23-02-2021,2970,3028,2968,2980.199951,2827.133057,3832829
24-02-2021,2972,3003.350098,2921.149902,2948.100098,2796.681885,3774549
25-02-2021,2974,3029.899902,2968.449951,2995.300049,2841.457275,4224073
26-02-2021,2960,2972.350098,2880,2894.300049,2745.645264,5553153
01-03-2021,2926,2965,2901.800049,2924.199951,2774.009033,3265871
02-03-2021,2960,3025,2948,3006.350098,2851.939941,3306469
03-03-2021,3035,3064,2996.899902,3059.100098,2901.980469,3509857
04-03-2021,3023,3081.449951,3016.050049,3049.699951,2893.062988,3916760
05-03-2021,3016.100098,3063.199951,2996.600098,3008.050049,2853.552246,3203686
08-03-2021,3016,3033,2996,3006.949951,2852.509033,2003125
09-03-2021,3006.949951,3066.899902,2992.100098,3050.949951,2894.248779,1942397
10-03-2021,3075,3093.199951,3060,3070.949951,2913.221924,3053778
12-03-2021,3075,3117,3041.350098,3057.949951,2900.889404,2938317
15-03-2021,3041,3099,3041,3066.149902,2908.668701,3097083
16-03-2021,3060,3141,3060,3110.050049,2950.313721,4894756
17-03-2021,3105,3155,3085.300049,3112.949951,2953.064453,3838390
18-03-2021,3125.949951,3146.449951,2987.050049,3036.5,2880.541016,3656306
19-03-2021,3030,3099,3005,3050.199951,2893.537842,5776626
22-03-2021,3048.699951,3139.449951,3018.649902,3129.649902,2968.906738,2821646
23-03-2021,3140,3169,3122.850098,3142.600098,2981.191895,3305973
24-03-2021,3111.199951,3152.300049,3111.149902,3121.100098,2960.796387,2207104
25-03-2021,3112.199951,3130.850098,3050,3064.850098,2907.435303,3179786
26-03-2021,3090.649902,3118,3043.050049,3066.800049,2909.2854,3697370
30-03-2021,3083,3188.449951,3060.899902,3158.550049,2996.32251,4694008
31-03-2021,3155,3205,3132,3177.850098,3014.631836,3530069
01-04-2021,3191.100098,3215,3145,3165,3002.441406,4285076
05-04-2021,3171,3263,3151,3238.899902,3072.545654,5317862
06-04-2021,3275,3275,3230,3264.699951,3097.020996,2291562
07-04-2021,3259,3277.550049,3234.800049,3271.399902,3103.376953,2491268
08-04-2021,3270,3335,3266.050049,3317.350098,3146.966064,2578118
09-04-2021,3354,3354.350098,3308,3322.25,3151.61499,2911129
12-04-2021,3322.25,3338.100098,3213.199951,3246.550049,3079.803223,3791828
13-04-2021,3214,3214,3073.050049,3104.050049,2944.621582,8654596
15-04-2021,3160.300049,3237.25,3087.449951,3218.949951,3053.620117,6062760
16-04-2021,3229,3247,3182.600098,3195.149902,3031.04248,3224657
19-04-2021,3169,3189,3135.100098,3161.800049,2999.405762,2679106
20-04-2021,3225,3225.350098,3126.350098,3144.550049,2983.041748,3141893
22-04-2021,3148,3148,3105.25,3118.800049,2958.614258,1988980
23-04-2021,3105,3119,3091.050049,3109.5,2949.791992,1615309
26-04-2021,3102.050049,3153,3088.050049,3100.800049,2941.538818,2490260
27-04-2021,3106,3136.100098,3103,3132,2971.135986,1471417
28-04-2021,3149.949951,3151,3112,3124.100098,2963.641846,1639037
29-04-2021,3145.600098,3157.350098,3105.5,3115.25,2955.246338,1621395
30-04-2021,3099,3132.050049,3020,3035.649902,2879.734863,3072305
03-05-2021,3024.899902,3055,3004,3037,2881.015625,1545831
04-05-2021,3062.800049,3090,3035,3049.75,2893.110596,1990777
05-05-2021,3070,3099.399902,3052.399902,3095.699951,2936.700684,1939289
06-05-2021,3105.5,3134,3074,3111.449951,2951.641846,1791671
07-05-2021,3133,3159.850098,3111.800049,3132.899902,2971.98999,1912540
